"TRANSPORT_TYPE";"TRANSPORT_MEAN";"TRAVEL_REASON";"SOCIO_DEMO_VARIABLE_TYPE";"SOCIO_DEMO_VARIABLE";"PERIOD_REF";"UNIT_MEAS";"VALUE";"OBS_CONFIDENCE";"OBS_STATUS"
"TOT";"TOT";"ALL_REAS";"GEO";"CH";2021;"KM";30.0140;0.4471;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH";2021;"MIN";74.6425;0.7083;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH";2021;"NBSTAGE";3.7784;0.0300;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH01";2021;"KM";28.5339;0.9170;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH01";2021;"MIN";75.8855;1.4707;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH01";2021;"NBSTAGE";3.9857;0.0628;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH02";2021;"KM";32.4538;0.9617;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH02";2021;"MIN";74.6736;1.4541;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH02";2021;"NBSTAGE";3.6897;0.0580;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH03";2021;"KM";27.8968;1.2374;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH03";2021;"MIN";72.8761;1.9977;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH03";2021;"NBSTAGE";3.7720;0.0838;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH04";2021;"KM";28.7821;1.2730;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH04";2021;"MIN";75.4103;2.0933;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH04";2021;"NBSTAGE";4.1049;0.1015;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH05";2021;"KM";31.1470;1.1689;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH05";2021;"MIN";72.7207;1.7021;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH05";2021;"NBSTAGE";3.4841;0.0653;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH06";2021;"KM";33.6612;1.4068;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH06";2021;"MIN";79.1265;2.2276;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH06";2021;"NBSTAGE";3.6294;0.0807;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH07";2021;"KM";24.1080;1.9444;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH07";2021;"MIN";67.2549;2.9807;"A"
"TOT";"TOT";"ALL_REAS";"GEO";"CH07";2021;"NBSTAGE";3.2148;0.1143;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"DE_REG";2021;"KM";30.2401;0.5546;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"DE_REG";2021;"MIN";74.8084;0.8875;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"DE_REG";2021;"NBSTAGE";3.7616;0.0380;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"FR_REG";2021;"KM";30.2233;0.8174;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"FR_REG";2021;"MIN";75.2256;1.2433;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"FR_REG";2021;"NBSTAGE";3.9307;0.0526;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"IT_REG";2021;"KM";24.8028;1.9666;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"IT_REG";2021;"MIN";67.6702;2.9661;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"IT_REG";2021;"NBSTAGE";3.2065;0.1121;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"RO_REG";2021;"KM";35.5919;14.7371;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"RO_REG";2021;"MIN";91.0711;18.6132;"A"
"TOT";"TOT";"ALL_REAS";"LANG_REG";"RO_REG";2021;"NBSTAGE";3.1249;0.4543;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"URB_MUN";2021;"KM";27.6849;0.5468;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"URB_MUN";2021;"MIN";73.7477;0.8678;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"URB_MUN";2021;"NBSTAGE";3.9510;0.0395;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"INT_MUN";2021;"KM";32.8589;1.0033;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"INT_MUN";2021;"MIN";75.9756;1.6068;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"INT_MUN";2021;"NBSTAGE";3.5767;0.0655;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"RUR_MUN";2021;"KM";35.4172;1.2659;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"RUR_MUN";2021;"MIN";76.3955;1.9193;"A"
"TOT";"TOT";"ALL_REAS";"URB_RUR";"RUR_MUN";2021;"NBSTAGE";3.3658;0.0649;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH1";2021;"KM";27.1528;1.0324;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH1";2021;"MIN";74.8225;1.8112;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH1";2021;"NBSTAGE";3.7195;0.0768;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH2";2021;"KM";29.7385;0.8245;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH2";2021;"MIN";73.9691;1.2576;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH2";2021;"NBSTAGE";3.2732;0.0491;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH2KIDS";2021;"KM";31.1234;0.7056;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH2KIDS";2021;"MIN";74.3161;1.0605;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH2KIDS";2021;"NBSTAGE";3.9890;0.0460;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH1KIDS";2021;"KM";30.1390;1.7401;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH1KIDS";2021;"MIN";78.1049;3.0103;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HH1KIDS";2021;"NBSTAGE";4.5396;0.1396;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HHNOFAM";2021;"KM";33.3991;2.4705;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HHNOFAM";2021;"MIN";75.9299;3.6579;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"HHNOFAM";2021;"NBSTAGE";4.0274;0.1698;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"DK_NOANS";2021;"KM";27.8151;15.3690;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"DK_NOANS";2021;"MIN";64.3510;14.7727;"A"
"TOT";"TOT";"ALL_REAS";"HHTYP";"DK_NOANS";2021;"NBSTAGE";3.5971;0.6597;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"MO_FR";2021;"KM";30.1329;0.5216;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"MO_FR";2021;"MIN";73.0419;0.7857;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"MO_FR";2021;"NBSTAGE";4.1431;0.0373;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"SA";2021;"KM";31.7142;1.3692;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"SA";2021;"MIN";79.2654;2.3101;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"SA";2021;"NBSTAGE";3.4455;0.0784;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"SO";2021;"KM";27.7630;1.1325;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"SO";2021;"MIN";77.9588;2.0010;"A"
"TOT";"TOT";"ALL_REAS";"DAY";"SO";2021;"NBSTAGE";2.3156;0.0526;"A"
"TOT";"TOT";"ALL_REAS";"SEX";"M";2021;"KM";33.7216;0.7057;"A"
"TOT";"TOT";"ALL_REAS";"SEX";"M";2021;"MIN";77.3890;1.0616;"A"
"TOT";"TOT";"ALL_REAS";"SEX";"M";2021;"NBSTAGE";3.7265;0.0417;"A"
"TOT";"TOT";"ALL_REAS";"SEX";"F";2021;"KM";26.3780;0.5646;"A"
"TOT";"TOT";"ALL_REAS";"SEX";"F";2021;"MIN";71.9489;0.9499;"A"
"TOT";"TOT";"ALL_REAS";"SEX";"F";2021;"NBSTAGE";3.8293;0.0440;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y6T17";2021;"KM";19.3778;0.8689;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y6T17";2021;"MIN";64.6827;1.7282;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y6T17";2021;"NBSTAGE";4.2845;0.0844;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y18T24";2021;"KM";40.2171;1.7704;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y18T24";2021;"MIN";83.2322;2.6098;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y18T24";2021;"NBSTAGE";4.8914;0.1416;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y25T44";2021;"KM";36.6901;1.0561;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y25T44";2021;"MIN";78.3311;1.5187;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y25T44";2021;"NBSTAGE";4.0453;0.0633;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y45T64";2021;"KM";32.8359;0.7897;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y45T64";2021;"MIN";79.9279;1.2925;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y45T64";2021;"NBSTAGE";3.7226;0.0514;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y65T79";2021;"KM";22.1748;0.8694;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y65T79";2021;"MIN";73.1489;1.6255;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y65T79";2021;"NBSTAGE";2.9990;0.0574;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y_GE80";2021;"KM";10.7806;0.9949;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y_GE80";2021;"MIN";42.8927;1.9410;"A"
"TOT";"TOT";"ALL_REAS";"AGE";"Y_GE80";2021;"NBSTAGE";2.1965;0.0900;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF4000";2021;"KM";18.2986;1.0079;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF4000";2021;"MIN";64.0660;2.0246;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF4000";2021;"NBSTAGE";3.2258;0.0910;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF4001T8000";2021;"KM";30.1952;0.9041;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF4001T8000";2021;"MIN";76.5642;1.4552;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF4001T8000";2021;"NBSTAGE";3.6729;0.0584;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF8001T12000";2021;"KM";37.1976;1.2079;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF8001T12000";2021;"MIN";81.3706;1.6781;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF8001T12000";2021;"NBSTAGE";3.9725;0.0707;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF_GE12001";2021;"KM";40.8074;1.4097;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF_GE12001";2021;"MIN";83.5419;1.9272;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"CHF_GE12001";2021;"NBSTAGE";4.1404;0.0834;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"DK_NOANS";2021;"KM";24.1908;0.6844;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"DK_NOANS";2021;"MIN";68.1320;1.2446;"A"
"TOT";"TOT";"ALL_REAS";"HH_INC";"DK_NOANS";2021;"NBSTAGE";3.7702;0.0558;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"ACT";2021;"KM";37.2015;0.6978;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"ACT";2021;"MIN";80.9933;1.0322;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"ACT";2021;"NBSTAGE";4.0062;0.0422;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"NONACT";2021;"KM";18.9698;0.6012;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"NONACT";2021;"MIN";65.1722;1.1855;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"NONACT";2021;"NBSTAGE";2.9026;0.0481;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"EDUC";2021;"KM";24.4760;0.9042;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"EDUC";2021;"MIN";69.3069;1.5539;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"EDUC";2021;"NBSTAGE";4.4767;0.0806;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"DK_NOANS";2021;"KM";17.1803;10.1028;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"DK_NOANS";2021;"MIN";52.9029;20.1163;"A"
"TOT";"TOT";"ALL_REAS";"PROF_STAT";"DK_NOANS";2021;"NBSTAGE";3.3577;1.4666;"A"
"TOT";"TOT";"WORK";"GEO";"CH";2021;"KM";8.3079;0.2313;"A"
"TOT";"TOT";"WORK";"GEO";"CH";2021;"MIN";14.1031;0.3140;"A"
"TOT";"TOT";"WORK";"GEO";"CH";2021;"NBSTAGE";0.9074;0.0182;"A"
"TOT";"TOT";"WORK";"GEO";"CH01";2021;"KM";7.2863;0.4382;"A"
"TOT";"TOT";"WORK";"GEO";"CH01";2021;"MIN";14.4195;0.6893;"A"
"TOT";"TOT";"WORK";"GEO";"CH01";2021;"NBSTAGE";0.9137;0.0374;"A"
"TOT";"TOT";"WORK";"GEO";"CH02";2021;"KM";8.9753;0.5031;"A"
"TOT";"TOT";"WORK";"GEO";"CH02";2021;"MIN";14.1218;0.6593;"A"
"TOT";"TOT";"WORK";"GEO";"CH02";2021;"NBSTAGE";0.8924;0.0346;"A"
"TOT";"TOT";"WORK";"GEO";"CH03";2021;"KM";8.1600;0.6530;"A"
"TOT";"TOT";"WORK";"GEO";"CH03";2021;"MIN";13.7107;0.9058;"A"
"TOT";"TOT";"WORK";"GEO";"CH03";2021;"NBSTAGE";0.8919;0.0521;"A"
"TOT";"TOT";"WORK";"GEO";"CH04";2021;"KM";8.0296;0.6840;"A"
"TOT";"TOT";"WORK";"GEO";"CH04";2021;"MIN";14.7600;0.9344;"A"
"TOT";"TOT";"WORK";"GEO";"CH04";2021;"NBSTAGE";1.0248;0.0634;"A"
"TOT";"TOT";"WORK";"GEO";"CH05";2021;"KM";8.6575;0.5790;"A"
"TOT";"TOT";"WORK";"GEO";"CH05";2021;"MIN";13.3714;0.7586;"A"
"TOT";"TOT";"WORK";"GEO";"CH05";2021;"NBSTAGE";0.8444;0.0382;"A"
"TOT";"TOT";"WORK";"GEO";"CH06";2021;"KM";9.5479;0.7289;"A"
"TOT";"TOT";"WORK";"GEO";"CH06";2021;"MIN";14.1221;0.8687;"A"
"TOT";"TOT";"WORK";"GEO";"CH06";2021;"NBSTAGE";0.8864;0.0493;"A"
"TOT";"TOT";"WORK";"GEO";"CH07";2021;"KM";7.1987;1.1037;"A"
"TOT";"TOT";"WORK";"GEO";"CH07";2021;"MIN";13.3786;1.5057;"A"
"TOT";"TOT";"WORK";"GEO";"CH07";2021;"NBSTAGE";0.7592;0.0722;"A"
"TOT";"TOT";"WORK";"LANG_REG";"DE_REG";2021;"KM";8.5077;0.2877;"A"
"TOT";"TOT";"WORK";"LANG_REG";"DE_REG";2021;"MIN";14.0826;0.3906;"A"
"TOT";"TOT";"WORK";"LANG_REG";"DE_REG";2021;"NBSTAGE";0.9206;0.0233;"A"
"TOT";"TOT";"WORK";"LANG_REG";"FR_REG";2021;"KM";7.9330;0.4115;"A"
"TOT";"TOT";"WORK";"LANG_REG";"FR_REG";2021;"MIN";14.3121;0.5751;"A"
"TOT";"TOT";"WORK";"LANG_REG";"FR_REG";2021;"NBSTAGE";0.8984;0.0308;"A"
"TOT";"TOT";"WORK";"LANG_REG";"IT_REG";2021;"KM";7.1343;1.0682;"A"
"TOT";"TOT";"WORK";"LANG_REG";"IT_REG";2021;"MIN";13.2811;1.4640;"A"
"TOT";"TOT";"WORK";"LANG_REG";"IT_REG";2021;"NBSTAGE";0.7503;0.0698;"A"
"TOT";"TOT";"WORK";"LANG_REG";"RO_REG";2021;"KM";9.6377;9.8518;"U"
"TOT";"TOT";"WORK";"LANG_REG";"RO_REG";2021;"MIN";13.1504;7.3171;"A"
"TOT";"TOT";"WORK";"LANG_REG";"RO_REG";2021;"NBSTAGE";0.7840;0.2459;"A"
"TOT";"TOT";"WORK";"URB_RUR";"URB_MUN";2021;"KM";7.5253;0.2762;"A"
"TOT";"TOT";"WORK";"URB_RUR";"URB_MUN";2021;"MIN";13.7427;0.3784;"A"
"TOT";"TOT";"WORK";"URB_RUR";"URB_MUN";2021;"NBSTAGE";0.9440;0.0243;"A"
"TOT";"TOT";"WORK";"URB_RUR";"INT_MUN";2021;"KM";9.3671;0.5391;"A"
"TOT";"TOT";"WORK";"URB_RUR";"INT_MUN";2021;"MIN";14.8406;0.7710;"A"
"TOT";"TOT";"WORK";"URB_RUR";"INT_MUN";2021;"NBSTAGE";0.8527;0.0383;"A"
"TOT";"TOT";"WORK";"URB_RUR";"RUR_MUN";2021;"KM";9.9846;0.6757;"A"
"TOT";"TOT";"WORK";"URB_RUR";"RUR_MUN";2021;"MIN";14.5404;0.8489;"A"
"TOT";"TOT";"WORK";"URB_RUR";"RUR_MUN";2021;"NBSTAGE";0.8359;0.0406;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH1";2021;"KM";7.7949;0.5804;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH1";2021;"MIN";13.6052;0.7780;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH1";2021;"NBSTAGE";0.8848;0.0435;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH2";2021;"KM";7.5565;0.4233;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH2";2021;"MIN";12.4206;0.5624;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH2";2021;"NBSTAGE";0.7851;0.0328;"A"
"TOT";"TOT";"WORK";"HHTYP";"HH2KIDS";2021;"KM";8.8624;0.3588;"A"
